screen_name profile_duration default_profile default_profile_image description_not_null favourites_count followers_count friends_count geo_enabled listed_count location_not_null profile_use_background_image protected statuses_count url_not_null verified class
victoriamax 977.129467593 0 0 1 9 91 127 1 0 1 1 0 1584 0 0 1
chicnatkins 702.55056713 1 1 1 21 85 329 0 11 1 1 0 2948 1 0 1
haileyklug 405.092349537 0 0 1 1179 196 330 0 0 1 1 0 5130 0 0 1
4l3x_0rt3g4 397.491516204 0 0 1 0 138 136 0 1 1 1 0 2 0 0 1
Kmitchnation 495.78380787 0 0 1 3 3862 2174 0 5 1 1 0 2779 1 0 0
JosephFontain10 4.133587963 1 1 1 0 0 6 0 0 1 1 0 0 0 0 1
_MaShyaa 940.539965278 0 0 1 33 570 1110 1 1 1 1 0 6472 0 0 1
JuliaPodsiadlik 17.654571759 1 0 1 2 46 225 0 0 1 1 0 4 0 0 1
SeanAlex 2064.229710648 0 0 1 75 1838 951 1 107 1 1 0 2513 1 0 0
kathilatte 1523.671111111 0 0 1 122 150 433 0 1 1 1 0 856 1 0 0
Inkandkush 1064.173229167 0 0 1 486 5808 6188 1 6 1 1 0 16141 0 0 0
divyak708 450.064363426 1 0 1 0 57 229 0 0 1 1 0 38 0 0 1
jen102194 273.91068287 1 1 1 0 10 45 0 0 1 1 0 17 0 0 1
Collabagala 85.331122685 1 0 1 0 33 80 0 0 1 1 0 24 0 0 0
lanewood 1679.824178241 0 0 1 75 3527 1662 1 126 1 1 0 7110 1 0 0
QUOTE_HATERS 455.307708333 1 0 1 59 10219 9117 0 16 1 1 0 7203 1 0 1
PukitsYM 262.381747685 1 0 1 16 486 496 0 0 1 1 0 336 1 0 1
SwindonSport 147.837939815 0 0 1 0 1101 1442 0 3 1 1 0 104 1 0 0
AgnesDatu 976.067025463 0 0 1 3 153 145 0 2 1 1 0 3196 0 0 1
Luukinha11 261.709074074 0 0 1 0 409 291 0 0 1 1 0 1251 0 0 1
RedEyeInc 1467.369537037 0 0 1 0 69552 3261 0 60 1 1 0 5719 1 0 0
mariahepabon 501.980266204 1 0 1 86 14787 283 1 127 1 1 0 22415 0 0 0
cintagreyarea 762.464085648 0 0 1 1 15 49 0 0 1 1 0 45 1 0 1
